caso;caso.o;grado;fecha;mtd;msm;vel;pre;curso;donde;util;aprender;empleo;formal;nivel;servicio;servicio.donde
1;1;Pedagogía;miércoles, 6 de marzo de 2024, 16:53;Sí;Sí;45,8;97,1;Sí;En una academia;Sí;Sí;Sí;Sí;En primaria;No;
2;2;Pedagogía;miércoles, 6 de marzo de 2024, 17:01;No;No;50,4;97,6;No;;Sí;Sí;Sí;Sí;Diría que acabando primaria o comenzando la ESO.;Sí;Algunos profesores que no están actualizados en la tecnología y no sabían buscar muchas cosas.
3;3;Pedagogía;miércoles, 6 de marzo de 2024, 16:59;Sí;Sí;32,2;96,4;No;;Sí;Sí;Sí;Sí;Entre primaria y secundaria;Sí;en el médico, intentan ir rápidos y se comen muchas letras
4;4;Pedagogía;miércoles, 6 de marzo de 2024, 16:51;Sí;No;41,6;95,7;No;;Sí;Sí;Sí;Sí;Primaria;No;
5;5;Pedagogía;miércoles, 6 de marzo de 2024, 16:53;No;No;45;96,6;No;;Sí;Sí;Sí;Sí;Eso y Bachiller;No;Nada
6;6;Pedagogía;miércoles, 6 de marzo de 2024, 17:54;Sí;Sí;57,4;96,2;No;;Sí;Sí;Sí;Sí;A lo largo de todos los niveles educativos.;Sí;El médico entre otros.
7;7;Pedagogía;miércoles, 6 de marzo de 2024, 16:53;Sí;Sí;46,4;99,5;No;;Sí;Sí;Sí;Sí;Desde la ESO.;Sí;En el médico, tras darme un informe muchas palabras ni se entendían.
8;8;Pedagogía;miércoles, 6 de marzo de 2024, 17:00;No;No;33,8;94,9;No;;Sí;Sí;Sí;Sí;Actualmente creo que es necesario que de realice desde finales de la primaria o al comenzar la secundaria, debido a que las tecnologías en el mundo están en el día a día;Sí;En la consulta del médico o los profesores a la hora de buscar de información en las aulas
9;9;Pedagogía;miércoles, 6 de marzo de 2024, 16:51;No;Sí;56;93,9;No;;Sí;Sí;Sí;Sí;Desde secundaria;Sí;Sanidad y administración
10;10;Pedagogía;miércoles, 6 de marzo de 2024, 16:57;No;No;45,6;97,6;No;;Sí;Sí;Sí;Sí;Desde el primer curso de la ESO;Sí;En los servicios burocráticos, para rellenar cualquier papel de la Universidad o de algún informe médico, etc. Han tardado demasiado cuando el informe realmente no requería tanto tiempo.
11;11;Pedagogía;miércoles, 6 de marzo de 2024, 16:53;No;No;28;96;No;;No;Sí;Sí;Sí;Desde primaria.;Sí;UGR. Secretaría.
12;12;Pedagogía;miércoles, 6 de marzo de 2024, 17:50;No;No;60,4;99;Sí;En una academia privada en León;Sí;Sí;Sí;No;;No;
13;13;Pedagogía;miércoles, 6 de marzo de 2024, 17:51;No;No;51,6;98,1;No;;Sí;Sí;Sí;Sí;Durante el instituto E.S.O;Sí;Porque habían muchos profesionales que tardaban en escribir un texto por solo saber escribir con un dedo, por lo que la charla/taller que estaban presentando se veía retrasado en cuanto al tiempo por eso.
14;14;Pedagogía;miércoles, 6 de marzo de 2024, 16:53;Sí;No;64,2;95,8;Sí;en mi pueblo;Sí;Sí;Sí;Sí;Primaria;Sí;En el hospital
15;15;Pedagogía;miércoles, 6 de marzo de 2024, 16:50;Sí;Sí;56;96,6;No;;Sí;Sí;Sí;Sí;A partir de primero de la ESO;No;
16;16;Pedagogía;miércoles, 6 de marzo de 2024, 16:55;No;No;39,8;98,5;No;;Sí;Sí;Sí;Sí;desde educación primaria.;No;
17;17;Pedagogía;miércoles, 6 de marzo de 2024, 16:54;Sí;Sí;42,8;95,3;No;;Sí;Sí;Sí;Sí;Personalmente creo que debería trabajarse a partir de primaria ya que a día de hoy ya todo se trabaja con ordenador o tablet...;Sí;hospital, centro educativo, secretaria...
18;18;Pedagogía;miércoles, 6 de marzo de 2024, 16:54;No;No;58;99,5;No;;Sí;Sí;Sí;Sí;Podría implantarse en los niveles de primaria. Si fuese así, en niveles superiores como en E.S.O , Bachillerato o incluso Educación Superior,  ayudará a las personas a agilizar, e interiorizar la dinámica.;No;
19;19;Pedagogía;miércoles, 6 de marzo de 2024, 17:51;No;No;43,2;97,1;Sí;En el Grado Medio de Gestión Administrativa;Sí;Sí;Sí;Sí;Debería enseñarse desde la Educación Secundaria, cuando se empiecen a utilizar los recursos tecnológicos en la escuela.;No;
20;20;Pedagogía;miércoles, 6 de marzo de 2024, 16:51;Sí;Sí;38,2;97;No;;Sí;Sí;Sí;Sí;Secundaria.;Sí;En el servicio médico.
21;21;Pedagogía;miércoles, 6 de marzo de 2024, 16:55;Sí;No;32;95,8;No;;Sí;Sí;No;No;;No;
22;22;Pedagogía;miércoles, 6 de marzo de 2024, 17:51;No;No;25,6;92,8;No;;Sí;Sí;Sí;Sí;En todos los niveles educativos.;Sí;En una consulta médica.
23;23;Pedagogía;miércoles, 6 de marzo de 2024, 17:51;No;No;46,3;94,7;No;;Sí;Sí;Sí;Sí;Durante la educación obligatoria;Sí;Durante una consulta en el médico
24;24;Pedagogía;miércoles, 6 de marzo de 2024, 17:52;No;No;35,6;94,7;No;;Sí;Sí;Sí;Sí;En sexto de primaria para entrar en la eso;Sí;Si, a la hora de coger apuntes
25;25;Pedagogía;miércoles, 6 de marzo de 2024, 17:52;No;No;25;96,2;No;;Sí;Sí;Sí;Sí;En el tercer ciclo de primaria y la ESO.;Sí;Cuando estoy esperando resultados en una oficina o en un hospital.
26;26;Pedagogía;miércoles, 6 de marzo de 2024, 16:51;No;No;37,6;96,9;No;;Sí;Sí;Sí;No;;No;
27;27;Pedagogía;miércoles, 6 de marzo de 2024, 17:51;Sí;Sí;49,4;94,8;No;;Sí;Sí;Sí;Sí;Al inicio de la educación secundaria;Sí;Ya que ha sido la espera más larga de lo debido
28;28;Pedagogía;miércoles, 6 de marzo de 2024, 16:53;Sí;No;51,4;97,1;No;;Sí;Sí;Sí;Sí;Educación Secundaria Obligatoria;No;
29;29;Pedagogía;miércoles, 6 de marzo de 2024, 17:54;Sí;Sí;45,6;95,2;No;;Sí;Sí;Sí;Sí;Lo más indicado sería en Educación Secundaria.;Sí;En una consulta médica, se pierde mucho tiempo.
30;30;Pedagogía;miércoles, 6 de marzo de 2024, 17:50;No;No;30,8;98,7;No;;Sí;Sí;Sí;Sí;Debería fomentarse desde tercer ciclo de primaria;No;
31;31;Pedagogía;miércoles, 6 de marzo de 2024, 16:53;Sí;Sí;37,6;95,4;Sí;En casa.;Sí;Sí;Sí;Sí;En primaria, a comienzos, para que sepan usarlo correctamente y de forma automática.;Sí;En el banco y el médico
32;32;Pedagogía;miércoles, 6 de marzo de 2024, 17:54;No;No;48;99;No;;Sí;Sí;Sí;Sí;Se podría establecer pequeños cursos en epata primaria y cursos de especialización en etapa secundaria, con el fin de llegar con más experiencia y habilidad a la etapa de bachiller o formación profesional.;No;
33;33;Pedagogía;miércoles, 6 de marzo de 2024, 16:55;No;No;42,6;96,6;No;;Sí;Sí;Sí;No;;No;
34;1;Psicología;miércoles, 3 de abril de 2024, 21:29;Sí;No;44,4;97;No;;Sí;Sí;Sí;Sí;Alrededor de 5º/6º de primaria, cuando los niños comienzan a manejarse con los dispositivos informáticos para realizar trabajos escolares.;No;
35;2;Psicología;sábado, 6 de abril de 2024, 13:47;Sí;Sí;67;95,7;No;;Sí;No;Sí;Sí;Considero que debería enseñarse durante la Educación Primaria.;No;
36;3;Psicología;jueves, 11 de abril de 2024, 14:40;No;Sí;69;97,1;No;;Sí;Sí;Sí;Sí;Creo que se debería enseñar en los cursos de la ESO, pues son los cursos obligatorios y sería útil que después de cursarlos, los alumnos sepan mecanografiar independiente de si cursan Bachillerato, un FP, etc.;No;
37;4;Psicología;miércoles, 3 de abril de 2024, 16:07;No;No;33,8;94,4;Sí;Colegio;Sí;No;Sí;Sí;En el colegio o Instituto;No;
